datetime,count
2011-01-20 00:00:00,10.98
2011-01-20 01:00:00,5.17
2011-01-20 02:00:00,4.46
2011-01-20 03:00:00,3.51
2011-01-20 04:00:00,3.24
2011-01-20 05:00:00,6.9
2011-01-20 06:00:00,37.21
2011-01-20 07:00:00,106.02
2011-01-20 08:00:00,238.44
2011-01-20 09:00:00,135.9
2011-01-20 10:00:00,61.92
2011-01-20 11:00:00,62.59
2011-01-20 12:00:00,88.18
2011-01-20 13:00:00,75.44
2011-01-20 14:00:00,85.11
2011-01-20 15:00:00,84.97
2011-01-20 16:00:00,98.74
2011-01-20 17:00:00,209.66
2011-01-20 18:00:00,181.64
2011-01-20 19:00:00,101.45
2011-01-20 20:00:00,70.99
2011-01-20 21:00:00,53.39
2011-01-20 22:00:00,45.97
2011-01-20 23:00:00,26.36
2011-01-21 00:00:00,13.02
2011-01-21 01:00:00,7.16
2011-01-21 02:00:00,4.0
2011-01-21 03:00:00,2.25
2011-01-21 04:00:00,2.07
2011-01-21 05:00:00,3.36
2011-01-21 06:00:00,34.98
2011-01-21 07:00:00,99.85
2011-01-21 08:00:00,204.16
2011-01-21 09:00:00,129.96
2011-01-21 10:00:00,50.58
2011-01-21 11:00:00,65.65
2011-01-21 12:00:00,75.31
2011-01-21 13:00:00,68.67
2011-01-21 14:00:00,66.48
2011-01-21 15:00:00,65.96
2011-01-21 16:00:00,80.64
2011-01-21 17:00:00,153.49
2011-01-21 18:00:00,152.84
2011-01-21 19:00:00,106.85
2011-01-21 20:00:00,70.0
2011-01-21 21:00:00,50.81
2011-01-21 22:00:00,33.68
2011-01-21 23:00:00,20.59
2011-01-22 00:00:00,23.91
2011-01-22 01:00:00,17.52
2011-01-22 02:00:00,15.05
2011-01-22 03:00:00,8.72
2011-01-22 04:00:00,2.57
2011-01-22 06:00:00,4.5
2011-01-22 07:00:00,15.95
2011-01-22 08:00:00,25.93
2011-01-22 09:00:00,36.28333333333334
2011-01-22 10:00:00,58.07
2011-01-22 11:00:00,60.65
2011-01-22 12:00:00,70.57
2011-01-22 13:00:00,75.32
2011-01-22 14:00:00,71.98
2011-01-22 15:00:00,76.08
2011-01-22 16:00:00,72.52
2011-01-22 17:00:00,80.9
2011-01-22 18:00:00,60.47
2011-01-22 19:00:00,42.33
2011-01-22 20:00:00,40.91
2011-01-22 21:00:00,37.83
2011-01-22 22:00:00,29.48
2011-01-22 23:00:00,20.13
2011-01-23 00:00:00,29.72
2011-01-23 01:00:00,21.33
2011-01-23 02:00:00,14.82
2011-01-23 03:00:00,13.52
2011-01-23 05:00:00,2.77
2011-01-23 06:00:00,2.76
2011-01-23 07:00:00,8.19
2011-01-23 08:00:00,16.94
2011-01-23 09:00:00,28.82
2011-01-23 10:00:00,56.0
2011-01-23 11:00:00,62.48
2011-01-23 12:00:00,69.66
2011-01-23 13:00:00,66.65
2011-01-23 14:00:00,72.0
2011-01-23 15:00:00,71.92
2011-01-23 16:00:00,74.37
2011-01-23 17:00:00,72.8
2011-01-23 18:00:00,72.49
2011-01-23 19:00:00,47.69
2011-01-23 20:00:00,32.17
2011-01-23 21:00:00,31.16
2011-01-23 22:00:00,20.29
2011-01-23 23:00:00,13.17
2011-01-24 00:00:00,11.89
2011-01-24 01:00:00,4.59
2011-01-24 03:00:00,1.69
2011-01-24 04:00:00,2.26
2011-01-24 05:00:00,5.69
2011-01-24 06:00:00,30.73
2011-01-24 07:00:00,79.26
2011-01-24 08:00:00,179.82
2011-01-24 09:00:00,98.24
2011-01-24 10:00:00,42.72
2011-01-24 11:00:00,40.76
2011-01-24 12:00:00,52.03
2011-01-24 13:00:00,48.8
2011-01-24 14:00:00,43.53
2011-01-24 15:00:00,55.46
2011-01-24 16:00:00,70.34
2011-01-24 17:00:00,154.12
2011-01-24 18:00:00,150.16
2011-01-24 19:00:00,96.54
2011-01-24 20:00:00,62.46
2011-01-24 21:00:00,47.99
2011-01-24 22:00:00,26.52
2011-01-24 23:00:00,19.13
2011-01-25 00:00:00,7.33
2011-01-25 01:00:00,3.29
2011-01-25 02:00:00,2.28
2011-01-25 04:00:00,1.64
2011-01-25 05:00:00,5.74
2011-01-25 06:00:00,33.77
2011-01-25 07:00:00,83.64
2011-01-25 08:00:00,205.45
2011-01-25 09:00:00,122.25
2011-01-25 10:00:00,58.49
2011-01-25 11:00:00,59.44
2011-01-25 12:00:00,74.47
2011-01-25 13:00:00,72.76
2011-01-25 14:00:00,82.07
2011-01-25 15:00:00,84.32
2011-01-25 16:00:00,102.32
2011-01-25 17:00:00,220.2
2011-01-25 18:00:00,204.31
2011-01-25 19:00:00,108.4
2011-01-25 20:00:00,74.12
2011-01-25 21:00:00,51.57
2011-01-25 22:00:00,37.78
2011-01-25 23:00:00,20.98
2011-01-26 00:00:00,9.75
2011-01-26 01:00:00,5.57
2011-01-26 02:00:00,2.827309523809524
2011-01-26 05:00:00,3.22
2011-01-26 06:00:00,25.31
2011-01-26 07:00:00,63.72
2011-01-26 08:00:00,137.0
2011-01-26 09:00:00,85.67
